Industry,Persistence_RMSE,Persistence_MAE,Persistence_SMAPE,Oracle_RMSE,Oracle_MAE,Oracle_SMAPE
Construction,0.1046120747923851,0.04400867968797684,12.430299073457718,1.012854814529419,0.8903821706771851,170.16090154647827
Education and Health Services,0.08847147971391678,0.029926661401987076,9.671467542648315,0.8769275546073914,0.7525596022605896,148.5015869140625
Financial Activities,0.052292145788669586,0.030120888724923134,6.920308619737625,1.0674200057983398,0.9517080783843994,196.61976099014282
Information,0.17318515479564667,0.0844501331448555,23.597748577594757,0.9026982188224792,0.7447081208229065,140.29231071472168
Leisure and Hospitality,0.38012632727622986,0.07617977261543274,12.663595378398895,1.0050203800201416,0.8704884052276611,166.1531686782837
Manufacturing,0.15720780193805695,0.05326312407851219,15.541660785675049,0.6647313833236694,0.5500227212905884,120.40597200393677
Natural Resources and Mining,0.09104032069444656,0.06364071369171143,20.076951384544373,1.0630189180374146,0.8946442008018494,197.62979745864868
Other Services,0.4556390345096588,0.09534765779972076,15.057489275932312,1.050647258758545,0.8698127269744873,176.54391527175903
Professional and Business Services,0.08696414530277252,0.03305206447839737,9.523817151784897,1.006582260131836,0.8640021681785583,160.79628467559814
Transportation and Utilities,0.184938445687294,0.05481560155749321,12.116079777479172,1.0624663829803467,0.9141880869865417,183.70931148529053
